"Salary.Frequency","Salary.Range.From","Salary.Range.To","Posting.Type","Level","X..Of.Positions","Civil.Service.Title","Agency"
"Annual",49492,69000,"Internal","00",1,"ADM MANAGER-NON-MGRL FRM M1/M2","DEPT OF INFO TECH & TELECOMM"
"Annual",56555,68431,"External","01",12,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",56555,68431,"Internal","01",12,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",54740,110000,"Internal","M1",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",54740,110000,"External","M1",1,"COMPUTER SYSTEMS MANAGER","DEPARTMENT OF FINANCE"
"Annual",32824,50355,"External","00",1,"CITY PLANNING TECHNICIAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",88954,160000,"External","M6",1,"DEPUTY COMMISSIONER FOR ADMINI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",88954,160000,"Internal","M6",1,"DEPUTY COMMISSIONER FOR ADMINI","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",56555,68431,"Internal","01",4,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",38058,53999,"External","01",1,"QUALITY ASSURANCE SPECIALIST (","DEPT OF ENVIRONMENT PROTECTION"
"Annual",56555,68431,"External","01",4,"CITY RESEARCH SCIENTIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",32824,50355,"Internal","00",1,"CITY PLANNING TECHNICIAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",90000,110000,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","NYC HOUSING AUTHORITY"
"Annual",43349,52496,"Internal","00",4,"CONSTRUCTION PROJECT MANAGER I","DEPT OF ENVIRONMENT PROTECTION"
"Annual",30683,49707,"Internal","03",1,"CLERICAL ASSOCIATE","LAW DEPARTMENT"
"Annual",43349,52496,"External","00",4,"CONSTRUCTION PROJECT MANAGER I","DEPT OF ENVIRONMENT PROTECTION"
"Annual",65822,96470,"Internal","02",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",65822,96470,"External","02",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",32086,51981,"Internal","03",1,"CLERICAL ASSOCIATE","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",39345,50167,"Internal","01",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",61387,61387,"Internal","00",3,"PLUMBER'S HELPER","NYC HOUSING AUTHORITY"
"Annual",61387,61387,"External","00",3,"PLUMBER'S HELPER","NYC HOUSING AUTHORITY"
"Hourly",66,71,"Internal","01",2,"CITY MEDICAL SPECIALIST (PART-","DEPT OF HEALTH/MENTAL HYGIENE"
"Hourly",66,71,"External","01",2,"CITY MEDICAL SPECIALIST (PART-","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",52670,67459,"Internal","02",1,"STAFF ANALYST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",62942,92249,"Internal","02",4,"ASSOCIATE PROJECT MANAGER","NYC HOUSING AUTHORITY"
"Annual",62942,92249,"External","02",4,"ASSOCIATE PROJECT MANAGER","NYC HOUSING AUTHORITY"
"Annual",62942,92249,"External","02",4,"ASSOCIATE PROJECT MANAGER","NYC HOUSING AUTHORITY"
"Annual",39345,50167,"External","01",1,"LABORATORY MICROBIOLOGIST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",52670,67459,"External","02",1,"STAFF ANALYST","DEPT OF HEALTH/MENTAL HYGIENE"
"Annual",62942,92249,"Internal","02",4,"ASSOCIATE PROJECT MANAGER","NYC HOUSING AUTHORITY"
"Annual",89988,203566,"External","M7",1,"DEPUTY COMMISSIONER (DEP)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",89988,203566,"Internal","M7",1,"DEPUTY COMMISSIONER (DEP)","DEPT OF ENVIRONMENT PROTECTION"
"Annual",109850,109850,"Internal","00",11,"SENIOR STATIONARY ENGINEER (EL","DEPT OF ENVIRONMENT PROTECTION"
"Annual",73034,107985,"Internal","00",1,"MARINE ELECTRONICS TECHNICIAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",73034,107985,"External","00",1,"MARINE ELECTRONICS TECHNICIAN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",85000,110000,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","ADMIN FOR CHILDREN'S SVCS"
"Annual",85000,110000,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","ADMIN FOR CHILDREN'S SVCS"
"Annual",81290,95896,"Internal","03",1,"COMPUTER SPECIALIST (SOFTWARE)","DEPT OF INFO TECH & TELECOMM"
"Annual",70000,70000,"Internal","M1",4,"DEPUTY SUPERINTENDENT (JUVENIL","ADMIN FOR CHILDREN'S SVCS"
"Annual",70000,70000,"External","M1",4,"DEPUTY SUPERINTENDENT (JUVENIL","ADMIN FOR CHILDREN'S SVCS"
"Annual",54740,146276,"Internal","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF ENVIRONMENT PROTECTION"
"Annual",54740,146276,"External","00",1,"ADMINISTRATIVE STAFF ANALYST (","DEPT OF ENVIRONMENT PROTECTION"
"Annual",62942,92249,"Internal","02",6,"ASSOCIATE PROJECT MANAGER","NYC HOUSING AUTHORITY"
"Annual",42405,65485,"Internal","01",1,"CONTRACT REVIEWER (OFFICE OF L","DEPARTMENT OF BUSINESS SERV."
"Annual",60740,162014,"Internal","M3",1,"ADMINISTRATIVE BUSINESS PROMOT","DEPARTMENT OF BUSINESS SERV."
"Annual",43349,52496,"External","00",1,"ENVIRONMENTAL ENGINEERING INTE","DEPT OF ENVIRONMENT PROTECTION"
"Annual",43349,52496,"Internal","00",1,"ENVIRONMENTAL ENGINEERING INTE","DEPT OF ENVIRONMENT PROTECTION"
"Annual",109850,109850,"Internal","00",5,"SENIOR STATIONARY ENGINEER (EL","DEPT OF ENVIRONMENT PROTECTION"
"Annual",43349,52496,"External","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",43349,52496,"Internal","00",1,"CIVIL ENGINEERING INTERN","DEPT OF ENVIRONMENT PROTECTION"
"Annual",90000,120000,"Internal","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Daily",251,292,"External","00",1,"MACHINIST","DEPARTMENT OF TRANSPORTATION"
"Annual",62942,92249,"External","02",6,"ASSOCIATE PROJECT MANAGER","NYC HOUSING AUTHORITY"
"Daily",251,292,"Internal","00",1,"MACHINIST","DEPARTMENT OF TRANSPORTATION"
"Annual",57129,82737,"Internal","01",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",57129,82737,"External","01",1,"ASSOCIATE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",90000,120000,"External","M2",1,"ADMINISTRATIVE PROJECT MANAGER","DEPT OF ENVIRONMENT PROTECTION"
"Annual",55544,79244,"Internal","03",1,"SCIENTIST (WATER ECOLOGY)","DEPT OF ENVIRONMENT PROTECTION"
